[Hz],Trace1[dBm]
1.024936000E+08,-6.83582E+01
1.056934000E+08,-7.06531E+01
1.056934000E+08,-6.86023E+01
1.088932000E+08,-7.04883E+01
1.088932000E+08,-6.83276E+01
1.120930000E+08,-7.04547E+01
1.120930000E+08,-6.87518E+01
1.152928000E+08,-7.05371E+01
1.152928000E+08,-6.87366E+01
1.184926000E+08,-7.07690E+01
1.184926000E+08,-6.87732E+01
1.216924000E+08,-7.09674E+01
1.216924000E+08,-6.90295E+01
1.248922000E+08,-7.08606E+01
1.248922000E+08,-6.90479E+01
1.280920000E+08,-7.11902E+01
1.280920000E+08,-6.92981E+01
1.312918000E+08,-7.12634E+01
1.312918000E+08,-6.94263E+01
1.344916000E+08,-7.15320E+01
1.344916000E+08,-6.95911E+01
1.376914000E+08,-7.15381E+01
1.376914000E+08,-6.98932E+01
1.408912000E+08,-7.16632E+01
1.408912000E+08,-6.96460E+01
1.440910000E+08,-7.18616E+01
1.440910000E+08,-6.99237E+01
1.472908000E+08,-7.18127E+01
1.472908000E+08,-7.02380E+01
1.504906000E+08,-7.22888E+01
1.504906000E+08,-7.02747E+01
1.536904000E+08,-7.19775E+01
1.536904000E+08,-7.02777E+01
1.568902000E+08,-7.21027E+01
1.568902000E+08,-7.02716E+01
1.600900000E+08,-7.23712E+01
1.600900000E+08,-7.05066E+01
1.632898000E+08,-7.23010E+01
1.632898000E+08,-7.05554E+01
1.664896000E+08,-7.25879E+01
1.664896000E+08,-7.05096E+01
1.696894000E+08,-7.26093E+01
1.696894000E+08,-7.06317E+01
1.728892000E+08,-7.26642E+01
1.728892000E+08,-7.07721E+01
1.760890000E+08,-7.30334E+01
1.760890000E+08,-7.03510E+01
1.792888000E+08,-7.28381E+01
1.792888000E+08,-7.03998E+01
1.824886000E+08,-7.26642E+01
1.824886000E+08,-7.09583E+01
1.856884000E+08,-7.28015E+01
1.856884000E+08,-7.09064E+01
1.888882000E+08,-7.29053E+01
1.888882000E+08,-7.09949E+01
1.920880000E+08,-7.29938E+01
1.920880000E+08,-7.09857E+01
1.952878000E+08,-7.29541E+01
1.952878000E+08,-7.13306E+01
1.984876000E+08,-7.31982E+01
1.984876000E+08,-7.12939E+01
2.016874000E+08,-7.32623E+01
2.016874000E+08,-7.14160E+01
2.048872000E+08,-7.35248E+01
2.048872000E+08,-7.14862E+01
2.080870000E+08,-7.41016E+01
2.080870000E+08,-7.15625E+01
2.112868000E+08,-7.37292E+01
2.112868000E+08,-7.20355E+01
2.144866000E+08,-7.41870E+01
2.144866000E+08,-7.18372E+01
2.176864000E+08,-7.42389E+01
2.176864000E+08,-7.23773E+01
2.208862000E+08,-7.44403E+01
2.208862000E+08,-7.24597E+01
2.240860000E+08,-7.48309E+01
2.240860000E+08,-7.27039E+01
2.272858000E+08,-7.49133E+01
2.272858000E+08,-7.26794E+01
2.304856000E+08,-7.54810E+01
2.304856000E+08,-7.31433E+01
2.336854000E+08,-7.53955E+01
2.336854000E+08,-7.34027E+01
2.368852000E+08,-7.54443E+01
2.368852000E+08,-7.37048E+01
2.400850000E+08,-7.59143E+01
2.400850000E+08,-7.40436E+01
2.432848000E+08,-7.63385E+01
2.432848000E+08,-7.42175E+01
2.464846000E+08,-7.65216E+01
2.464846000E+08,-7.45837E+01
2.496844000E+08,-7.68237E+01
2.496844000E+08,-7.49896E+01
2.528842000E+08,-7.70374E+01
2.528842000E+08,-7.51788E+01
2.560840000E+08,-7.70343E+01
2.560840000E+08,-7.50903E+01
2.592838000E+08,-7.76080E+01
2.592838000E+08,-7.54810E+01
2.624836000E+08,-7.79498E+01
2.624836000E+08,-7.59570E+01
2.656834000E+08,-7.83130E+01
2.656834000E+08,-7.63873E+01
2.688832000E+08,-7.89508E+01
2.688832000E+08,-7.68726E+01
2.720830000E+08,-7.91492E+01
2.720830000E+08,-7.71869E+01
2.752828000E+08,-7.91309E+01
2.752828000E+08,-7.73059E+01
2.784826000E+08,-7.92712E+01
2.784826000E+08,-7.72998E+01
2.816824000E+08,-7.93628E+01
2.816824000E+08,-7.74646E+01
2.848822000E+08,-7.97473E+01
2.848822000E+08,-7.78064E+01
2.880820000E+08,-7.98938E+01
2.880820000E+08,-7.77698E+01
2.912818000E+08,-7.99243E+01
2.912818000E+08,-7.80536E+01
2.944816000E+08,-8.00586E+01
2.944816000E+08,-7.80750E+01
2.976814000E+08,-8.04645E+01
2.976814000E+08,-7.85846E+01
3.008812000E+08,-8.03851E+01
3.008812000E+08,-7.87311E+01
3.040810000E+08,-8.05347E+01
3.040810000E+08,-7.86548E+01
3.072808000E+08,-8.05804E+01
3.072808000E+08,-7.87952E+01
3.104806000E+08,-8.10016E+01
3.104806000E+08,-7.90942E+01
3.136804000E+08,-8.14441E+01
3.136804000E+08,-7.92133E+01
3.168802000E+08,-8.10748E+01
3.168802000E+08,-7.93750E+01
3.200800000E+08,-8.10229E+01
3.200800000E+08,-7.92773E+01
3.232798000E+08,-8.11969E+01
3.232798000E+08,-7.95001E+01
3.264796000E+08,-8.12335E+01
3.264796000E+08,-7.95001E+01
3.296794000E+08,-8.13770E+01
3.296794000E+08,-7.93445E+01
3.328792000E+08,-8.15082E+01
3.328792000E+08,-7.97198E+01
3.360790000E+08,-8.18500E+01
3.360790000E+08,-7.96283E+01
3.392788000E+08,-8.15082E+01
3.392788000E+08,-7.94666E+01
3.424786000E+08,-8.18164E+01
3.424786000E+08,-7.95978E+01
3.456784000E+08,-8.15143E+01
3.456784000E+08,-7.97107E+01
3.488782000E+08,-8.17218E+01
3.488782000E+08,-7.97992E+01
3.520780000E+08,-8.21277E+01
3.520780000E+08,-7.99335E+01
3.552778000E+08,-8.16760E+01
3.552778000E+08,-7.99426E+01
3.584776000E+08,-8.20026E+01
3.584776000E+08,-8.01715E+01
3.616774000E+08,-8.25122E+01
3.616774000E+08,-8.02692E+01
3.648772000E+08,-8.20911E+01
3.648772000E+08,-8.04218E+01
3.680770000E+08,-8.20758E+01
3.680770000E+08,-8.03851E+01
3.712768000E+08,-8.23779E+01
3.712768000E+08,-8.02295E+01
3.744766000E+08,-8.26282E+01
3.744766000E+08,-8.05804E+01
3.776764000E+08,-8.26068E+01
3.776764000E+08,-8.05499E+01
3.808762000E+08,-8.25458E+01
3.808762000E+08,-8.08276E+01
3.840760000E+08,-8.27625E+01
3.840760000E+08,-8.07941E+01
3.872758000E+08,-8.28113E+01
3.872758000E+08,-8.09833E+01
3.904756000E+08,-8.31165E+01
3.904756000E+08,-8.07300E+01
3.936754000E+08,-8.26801E+01
3.936754000E+08,-8.08246E+01
3.968752000E+08,-8.28052E+01
3.968752000E+08,-8.07758E+01
4.000750000E+08,-8.22009E+01
4.000750000E+08,-7.95673E+01
4.032748000E+08,-8.22498E+01
4.032748000E+08,-7.97260E+01
4.064746000E+08,-8.29120E+01
4.064746000E+08,-8.09283E+01
4.096744000E+08,-8.30737E+01
4.096744000E+08,-8.09253E+01
4.128742000E+08,-8.32019E+01
4.128742000E+08,-8.10840E+01
4.160740000E+08,-8.29974E+01
4.160740000E+08,-8.10168E+01
4.192738000E+08,-8.30798E+01
4.192738000E+08,-8.12488E+01
4.224736000E+08,-8.31042E+01
4.224736000E+08,-8.14136E+01
4.256734000E+08,-8.32751E+01
4.256734000E+08,-8.13251E+01
4.288732000E+08,-8.31683E+01
4.288732000E+08,-8.14563E+01
4.320730000E+08,-8.32538E+01
4.320730000E+08,-8.15448E+01
4.352728000E+08,-8.35254E+01
4.352728000E+08,-8.12183E+01
4.384726000E+08,-8.34338E+01
4.384726000E+08,-8.14197E+01
4.416724000E+08,-8.37451E+01
4.416724000E+08,-8.16821E+01
4.448722000E+08,-8.35773E+01
4.448722000E+08,-8.18347E+01
4.480720000E+08,-8.38397E+01
4.480720000E+08,-8.18835E+01
4.512718000E+08,-8.37268E+01
4.512718000E+08,-8.18103E+01
4.544716000E+08,-8.37329E+01
4.544716000E+08,-8.19080E+01
4.576714000E+08,-8.43311E+01
4.576714000E+08,-8.22131E+01
4.608712000E+08,-8.39740E+01
4.608712000E+08,-8.19995E+01
4.640710000E+08,-8.39709E+01
4.640710000E+08,-8.21307E+01
4.672708000E+08,-8.38458E+01
4.672708000E+08,-8.24390E+01
4.704706000E+08,-8.39526E+01
4.704706000E+08,-8.24359E+01
4.736704000E+08,-8.42303E+01
4.736704000E+08,-8.19354E+01
4.768702000E+08,-8.41968E+01
4.768702000E+08,-8.22681E+01
4.800700000E+08,-8.42181E+01
4.800700000E+08,-8.24756E+01
4.832698000E+08,-8.42578E+01
4.832698000E+08,-8.25427E+01
4.864696000E+08,-8.42487E+01
4.864696000E+08,-8.22711E+01
4.896694000E+08,-8.42578E+01
4.896694000E+08,-8.25153E+01
4.928692000E+08,-8.44043E+01
4.928692000E+08,-8.25031E+01
4.960690000E+08,-8.40289E+01
4.960690000E+08,-8.25916E+01
4.992688000E+08,-8.43036E+01
4.992688000E+08,-8.24542E+01
5.024686000E+08,-8.44623E+01
5.024686000E+08,-8.25305E+01
5.056684000E+08,-8.45996E+01
5.056684000E+08,-8.27594E+01
5.088682000E+08,-8.47186E+01
5.088682000E+08,-8.26434E+01
5.120680000E+08,-8.47644E+01
5.120680000E+08,-8.23840E+01
5.152678000E+08,-8.47308E+01
5.152678000E+08,-8.26129E+01
5.184676000E+08,-8.45630E+01
5.184676000E+08,-8.24817E+01
5.216674000E+08,-8.47125E+01
5.216674000E+08,-8.26801E+01
5.248672000E+08,-8.47736E+01
5.248672000E+08,-8.28235E+01
5.280670000E+08,-8.47400E+01
5.280670000E+08,-8.28693E+01
5.312668000E+08,-8.47888E+01
5.312668000E+08,-8.28448E+01
5.344666000E+08,-8.50391E+01
5.344666000E+08,-8.30310E+01
5.376664000E+08,-8.48376E+01
5.376664000E+08,-8.29517E+01
5.408662000E+08,-8.50970E+01
5.408662000E+08,-8.29395E+01
5.440660000E+08,-8.49475E+01
5.440660000E+08,-8.28601E+01
5.472658000E+08,-8.49628E+01
5.472658000E+08,-8.30524E+01
5.504656000E+08,-8.53229E+01
5.504656000E+08,-8.28937E+01
5.536654000E+08,-8.49261E+01
5.536654000E+08,-8.30920E+01
5.568652000E+08,-8.49109E+01
5.568652000E+08,-8.31592E+01
5.600650000E+08,-8.49872E+01
5.600650000E+08,-8.31073E+01
5.632648000E+08,-8.53290E+01
5.632648000E+08,-8.30554E+01
5.664646000E+08,-8.48193E+01
5.664646000E+08,-8.29974E+01
5.696644000E+08,-8.50421E+01
5.696644000E+08,-8.30493E+01
5.728642000E+08,-8.49811E+01
5.728642000E+08,-8.31256E+01
5.760640000E+08,-8.48041E+01
5.760640000E+08,-8.14807E+01
5.792638000E+08,-8.54633E+01
5.792638000E+08,-8.33789E+01
5.824636000E+08,-8.51276E+01
5.824636000E+08,-8.31561E+01
5.856634000E+08,-8.51337E+01
5.856634000E+08,-8.31287E+01
5.888632000E+08,-8.53229E+01
5.888632000E+08,-8.31836E+01
5.920630000E+08,-8.51123E+01
5.920630000E+08,-8.33484E+01
5.952628000E+08,-8.52069E+01
5.952628000E+08,-8.34888E+01
5.984626000E+08,-8.53381E+01
5.984626000E+08,-8.33331E+01
6.016624000E+08,-8.51611E+01
6.016624000E+08,-8.34613E+01
6.048622000E+08,-8.54419E+01
6.048622000E+08,-8.35956E+01
6.080620000E+08,-8.53015E+01
6.080620000E+08,-8.33453E+01
6.112618000E+08,-8.52771E+01
6.112618000E+08,-8.35803E+01
6.144616000E+08,-8.52557E+01
6.144616000E+08,-8.35376E+01
6.176614000E+08,-8.52496E+01
6.176614000E+08,-8.34094E+01
6.208612000E+08,-8.55670E+01
6.208612000E+08,-8.35773E+01
6.240610000E+08,-8.53778E+01
6.240610000E+08,-8.36230E+01
6.272608000E+08,-8.52313E+01
6.272608000E+08,-8.35162E+01
6.304606000E+08,-8.54907E+01
6.304606000E+08,-8.34918E+01
6.336604000E+08,-8.53931E+01
6.336604000E+08,-8.35040E+01
6.368602000E+08,-8.53931E+01
6.368602000E+08,-8.34094E+01
6.400600000E+08,-8.55548E+01
6.400600000E+08,-8.32782E+01
6.432598000E+08,-8.55090E+01
6.432598000E+08,-8.36230E+01
6.464596000E+08,-8.59363E+01
6.464596000E+08,-8.36047E+01
6.496594000E+08,-8.53412E+01
6.496594000E+08,-8.33850E+01
6.528592000E+08,-8.54327E+01
6.528592000E+08,-8.35651E+01
6.560590000E+08,-8.55060E+01
6.560590000E+08,-8.37970E+01
6.592588000E+08,-8.55304E+01
6.592588000E+08,-8.33087E+01
6.624586000E+08,-8.55518E+01
6.624586000E+08,-8.34796E+01
6.656584000E+08,-8.53503E+01
6.656584000E+08,-8.36322E+01
6.688582000E+08,-8.54388E+01
6.688582000E+08,-8.36993E+01
6.720580000E+08,-8.56433E+01
6.720580000E+08,-8.32050E+01
6.752578000E+08,-8.53778E+01
6.752578000E+08,-8.38031E+01
6.784576000E+08,-8.55670E+01
6.784576000E+08,-8.39130E+01
6.816574000E+08,-8.57806E+01
6.816574000E+08,-8.33972E+01
6.848572000E+08,-8.56189E+01
6.848572000E+08,-8.37360E+01
6.880570000E+08,-8.54694E+01
6.880570000E+08,-8.34827E+01
6.912568000E+08,-8.58020E+01
6.912568000E+08,-8.37726E+01
6.944566000E+08,-8.54541E+01
6.944566000E+08,-8.38702E+01
6.976564000E+08,-8.58966E+01
6.976564000E+08,-8.38062E+01
7.008562000E+08,-8.57623E+01
7.008562000E+08,-8.37756E+01
7.040560000E+08,-8.58691E+01
7.040560000E+08,-8.37665E+01
7.072558000E+08,-8.56433E+01
7.072558000E+08,-8.36688E+01
7.104556000E+08,-8.57959E+01
7.104556000E+08,-8.39404E+01
7.136554000E+08,-8.55640E+01
7.136554000E+08,-8.36261E+01
7.168552000E+08,-8.54816E+01
7.168552000E+08,-8.37848E+01
7.200550000E+08,-8.61072E+01
7.200550000E+08,-8.37512E+01
7.232548000E+08,-8.56769E+01
7.232548000E+08,-8.39557E+01
7.264546000E+08,-8.55914E+01
7.264546000E+08,-8.36932E+01
7.296544000E+08,-8.56677E+01
7.296544000E+08,-8.39435E+01
7.328542000E+08,-8.58112E+01
7.328542000E+08,-8.37939E+01
7.360540000E+08,-8.56219E+01
7.360540000E+08,-8.37329E+01
7.392538000E+08,-8.59454E+01
7.392538000E+08,-8.35773E+01
7.424536000E+08,-8.56616E+01
7.424536000E+08,-8.36749E+01
7.456534000E+08,-8.56586E+01
7.456534000E+08,-8.38489E+01
7.488532000E+08,-8.60614E+01
7.488532000E+08,-8.39526E+01
7.520530000E+08,-8.58142E+01
7.520530000E+08,-8.37665E+01
7.552528000E+08,-8.58203E+01
7.552528000E+08,-8.40564E+01
7.584526000E+08,-8.58508E+01
7.584526000E+08,-8.39648E+01
7.616524000E+08,-8.57013E+01
7.616524000E+08,-8.40015E+01
7.648522000E+08,-8.56677E+01
7.648522000E+08,-8.39099E+01
7.680520000E+08,-8.56403E+01
7.680520000E+08,-8.39191E+01
7.712518000E+08,-8.57440E+01
7.712518000E+08,-8.39191E+01
7.744516000E+08,-8.57867E+01
7.744516000E+08,-8.39404E+01
7.776514000E+08,-8.56921E+01
7.776514000E+08,-8.39862E+01
7.808512000E+08,-8.58264E+01
7.808512000E+08,-8.39435E+01
7.840510000E+08,-8.56525E+01
7.840510000E+08,-8.39069E+01
7.872508000E+08,-8.57318E+01
7.872508000E+08,-8.38794E+01
7.904506000E+08,-8.58600E+01
7.904506000E+08,-8.39648E+01
7.936504000E+08,-8.57349E+01
7.936504000E+08,-8.40381E+01
7.968502000E+08,-8.57135E+01
7.968502000E+08,-8.38245E+01
8.000500000E+08,-8.60461E+01
8.000500000E+08,-8.39008E+01
8.032498000E+08,-8.58539E+01
8.032498000E+08,-8.40381E+01
8.064496000E+08,-8.57928E+01
8.064496000E+08,-8.38947E+01
8.096494000E+08,-8.58051E+01
8.096494000E+08,-8.37085E+01
8.128492000E+08,-8.57074E+01
8.128492000E+08,-8.37115E+01
8.160490000E+08,-8.61072E+01
8.160490000E+08,-8.39282E+01
8.192488000E+08,-8.61133E+01
8.192488000E+08,-8.39374E+01
8.224486000E+08,-8.57349E+01
8.224486000E+08,-8.38153E+01
8.256484000E+08,-8.58539E+01
8.256484000E+08,-8.40442E+01
8.288482000E+08,-8.59088E+01
8.288482000E+08,-8.39069E+01
8.320480000E+08,-8.58081E+01
8.320480000E+08,-8.39465E+01
8.352478000E+08,-8.58173E+01
8.352478000E+08,-8.39893E+01
8.384476000E+08,-8.60065E+01
8.384476000E+08,-8.40503E+01
8.416474000E+08,-8.60034E+01
8.416474000E+08,-8.39374E+01
8.448472000E+08,-8.58875E+01
8.448472000E+08,-8.39893E+01
8.480470000E+08,-8.57166E+01
8.480470000E+08,-8.40869E+01
8.512468000E+08,-8.57471E+01
8.512468000E+08,-8.39160E+01
8.544466000E+08,-8.57196E+01
8.544466000E+08,-8.39648E+01
8.576464000E+08,-8.57959E+01
8.576464000E+08,-8.40503E+01
8.608462000E+08,-8.60065E+01
8.608462000E+08,-8.40961E+01
8.640460000E+08,-8.57990E+01
8.640460000E+08,-8.36841E+01
8.672458000E+08,-8.56464E+01
8.672458000E+08,-8.39404E+01
8.704456000E+08,-8.57257E+01
8.704456000E+08,-8.39221E+01
8.736454000E+08,-8.57715E+01
8.736454000E+08,-8.38000E+01
8.768452000E+08,-8.57990E+01
8.768452000E+08,-8.38306E+01
8.800450000E+08,-8.56342E+01
8.800450000E+08,-8.39557E+01
8.832448000E+08,-8.58539E+01
8.832448000E+08,-8.36932E+01
8.864446000E+08,-8.57043E+01
8.864446000E+08,-8.38092E+01
8.896444000E+08,-8.55853E+01
8.896444000E+08,-8.37665E+01
8.928442000E+08,-8.57562E+01
8.928442000E+08,-8.39221E+01
8.960440000E+08,-8.60736E+01
8.960440000E+08,-8.39191E+01
8.992438000E+08,-8.56036E+01
8.992438000E+08,-8.36993E+01
9.024436000E+08,-8.58173E+01
9.024436000E+08,-8.37756E+01
9.056434000E+08,-8.55945E+01
9.056434000E+08,-8.37299E+01
9.088432000E+08,-8.58081E+01
9.088432000E+08,-8.39130E+01
9.120430000E+08,-8.57806E+01
9.120430000E+08,-8.38977E+01
9.152428000E+08,-8.58325E+01
9.152428000E+08,-8.38184E+01
9.184426000E+08,-8.58905E+01
9.184426000E+08,-8.34857E+01
9.216424000E+08,-8.58447E+01
9.216424000E+08,-8.38641E+01
9.248422000E+08,-8.56921E+01
9.248422000E+08,-8.39343E+01
9.280420000E+08,-8.57959E+01
9.280420000E+08,-8.38885E+01
9.312418000E+08,-8.58020E+01
9.312418000E+08,-8.38855E+01
9.344416000E+08,-8.57684E+01
9.344416000E+08,-8.37970E+01
9.376414000E+08,-8.58051E+01
9.376414000E+08,-8.37695E+01
9.408412000E+08,-8.59119E+01
9.408412000E+08,-8.39008E+01
9.440410000E+08,-8.59393E+01
9.440410000E+08,-8.38062E+01
9.472408000E+08,-8.58234E+01
9.472408000E+08,-8.38580E+01
9.504406000E+08,-8.57806E+01
9.504406000E+08,-8.36993E+01
9.536404000E+08,-8.58600E+01
9.536404000E+08,-8.39221E+01
9.568402000E+08,-8.57471E+01
9.568402000E+08,-8.39374E+01
9.600400000E+08,-8.57593E+01
9.600400000E+08,-8.36719E+01
9.632398000E+08,-8.57104E+01
9.632398000E+08,-8.38824E+01
9.664396000E+08,-8.58356E+01
9.664396000E+08,-8.38214E+01
9.696394000E+08,-8.56860E+01
9.696394000E+08,-8.37085E+01
9.728392000E+08,-8.58112E+01
9.728392000E+08,-8.39709E+01
9.760390000E+08,-8.59882E+01
9.760390000E+08,-8.38245E+01
9.792388000E+08,-8.61957E+01
9.792388000E+08,-8.39038E+01
9.824386000E+08,-8.56464E+01
9.824386000E+08,-8.38733E+01
9.856384000E+08,-8.57257E+01
9.856384000E+08,-8.39618E+01
9.888382000E+08,-8.56921E+01
9.888382000E+08,-8.38733E+01
9.920380000E+08,-8.56128E+01
9.920380000E+08,-8.39984E+01
9.952378000E+08,-8.57410E+01
9.952378000E+08,-8.39435E+01
9.984376000E+08,-8.60919E+01
9.984376000E+08,-8.39923E+01
1.001637400E+09,-8.58356E+01
1.001637400E+09,-8.39252E+01
1.004837200E+09,-8.59821E+01
1.004837200E+09,-8.39221E+01
1.008037000E+09,-8.59637E+01
1.008037000E+09,-8.40747E+01
1.011236800E+09,-8.57623E+01
1.011236800E+09,-8.40717E+01
1.014436600E+09,-8.57043E+01
1.014436600E+09,-8.38672E+01
1.017636400E+09,-8.56494E+01
1.017636400E+09,-8.40411E+01
1.020836200E+09,-8.59088E+01
1.020836200E+09,-8.40625E+01
1.024036000E+09,-8.57196E+01
1.024036000E+09,-8.38489E+01
1.027235800E+09,-8.56738E+01
1.027235800E+09,-8.41693E+01
1.030435600E+09,-8.58051E+01
1.030435600E+09,-8.38855E+01
1.033635400E+09,-8.59485E+01
1.033635400E+09,-8.37543E+01
1.036835200E+09,-8.58417E+01
1.036835200E+09,-8.39313E+01
1.040035000E+09,-8.56921E+01
1.040035000E+09,-8.38519E+01
1.043234800E+09,-8.56616E+01
1.043234800E+09,-8.40167E+01
1.046434600E+09,-8.60675E+01
1.046434600E+09,-8.39679E+01
1.049634400E+09,-8.56250E+01
1.049634400E+09,-8.39893E+01
1.052834200E+09,-8.56464E+01
1.052834200E+09,-8.39709E+01
1.056034000E+09,-8.57227E+01
1.056034000E+09,-8.39832E+01
1.059233800E+09,-8.56158E+01
1.059233800E+09,-8.38672E+01
1.062433600E+09,-8.58600E+01
1.062433600E+09,-8.40015E+01
1.065633400E+09,-8.59851E+01
1.065633400E+09,-8.39862E+01
1.068833200E+09,-8.59698E+01
1.068833200E+09,-8.40778E+01
1.072033000E+09,-8.59973E+01
1.072033000E+09,-8.39343E+01
1.075232800E+09,-8.63147E+01
1.075232800E+09,-8.35590E+01
1.078432600E+09,-8.58875E+01
1.078432600E+09,-8.40198E+01
1.081632400E+09,-8.58173E+01
1.081632400E+09,-8.40411E+01
1.084832200E+09,-8.58295E+01
1.084832200E+09,-8.40167E+01
1.088032000E+09,-8.60309E+01
1.088032000E+09,-8.36780E+01
1.091231800E+09,-8.58966E+01
1.091231800E+09,-8.40289E+01
1.094431600E+09,-8.58691E+01
1.094431600E+09,-8.40656E+01
1.097631400E+09,-8.60278E+01
1.097631400E+09,-8.39923E+01
1.100831200E+09,-8.58752E+01
1.100831200E+09,-8.40961E+01
1.104031000E+09,-8.58020E+01
1.104031000E+09,-8.37878E+01
1.107230800E+09,-8.58661E+01
1.107230800E+09,-8.41174E+01
1.110430600E+09,-8.58447E+01
1.110430600E+09,-8.41632E+01
1.113630400E+09,-8.59332E+01
1.113630400E+09,-8.41968E+01
1.116830200E+09,-8.61407E+01
1.116830200E+09,-8.41602E+01
1.120030000E+09,-8.62628E+01
1.120030000E+09,-8.41083E+01
1.123229800E+09,-8.61438E+01
1.123229800E+09,-8.40900E+01
1.126429600E+09,-8.59515E+01
1.126429600E+09,-8.41266E+01
1.129629400E+09,-8.61591E+01
1.129629400E+09,-8.38672E+01
1.132829200E+09,-8.63757E+01
1.132829200E+09,-8.40381E+01
1.136029000E+09,-8.59149E+01
1.136029000E+09,-8.39984E+01
1.139228800E+09,-8.62537E+01
1.139228800E+09,-8.41876E+01
1.142428600E+09,-8.61896E+01
1.142428600E+09,-8.41083E+01
1.145628400E+09,-8.60980E+01
1.145628400E+09,-8.39404E+01
1.148828200E+09,-8.59241E+01
1.148828200E+09,-8.41205E+01
1.152028000E+09,-8.59851E+01
1.152028000E+09,-8.41663E+01
1.155227800E+09,-8.62109E+01
1.155227800E+09,-8.41968E+01
1.158427600E+09,-8.60522E+01
1.158427600E+09,-8.41266E+01
1.161627400E+09,-8.63330E+01
1.161627400E+09,-8.42456E+01
1.164827200E+09,-8.57501E+01
1.164827200E+09,-8.40350E+01
1.168027000E+09,-8.61163E+01
1.168027000E+09,-8.40656E+01
1.171226800E+09,-8.59424E+01
1.171226800E+09,-8.40289E+01
1.174426600E+09,-8.63391E+01
1.174426600E+09,-8.40991E+01
1.177626400E+09,-8.58661E+01
1.177626400E+09,-8.43585E+01
1.180826200E+09,-8.62781E+01
1.180826200E+09,-8.40778E+01
1.184026000E+09,-8.63544E+01
1.184026000E+09,-8.41388E+01
1.187225800E+09,-8.60919E+01
1.187225800E+09,-8.42395E+01
1.190425600E+09,-8.63086E+01
1.190425600E+09,-8.41907E+01
1.193625400E+09,-8.60858E+01
1.193625400E+09,-8.39282E+01
1.196825200E+09,-8.61133E+01
1.196825200E+09,-8.42090E+01
1.200025000E+09,-8.59546E+01
1.200025000E+09,-8.41602E+01
1.203224800E+09,-8.59515E+01
1.203224800E+09,-8.42090E+01
1.206424600E+09,-8.58478E+01
1.206424600E+09,-8.40076E+01
1.209624400E+09,-8.60522E+01
1.209624400E+09,-8.44379E+01
1.212824200E+09,-8.59790E+01
1.212824200E+09,-8.43066E+01
1.216024000E+09,-8.60400E+01
1.216024000E+09,-8.43494E+01
1.219223800E+09,-8.61530E+01
1.219223800E+09,-8.42395E+01
1.222423600E+09,-8.61041E+01
1.222423600E+09,-8.44379E+01
1.225623400E+09,-8.62964E+01
1.225623400E+09,-8.40533E+01
1.228823200E+09,-8.62506E+01
1.228823200E+09,-8.44501E+01
1.232023000E+09,-8.60645E+01
1.232023000E+09,-8.44867E+01
1.235222800E+09,-8.64368E+01
1.235222800E+09,-8.40411E+01
1.238422600E+09,-8.60522E+01
1.238422600E+09,-8.44226E+01
